complex_id,complex_name,name_yandex,longitude,latitude,builder_id
1276125,Прагма Парк,ЖК Прагма Парк,30.157071999999996,59.84036999999999,5741
44582,Геометрия,ЖК Геометрия,30.522058,59.909279000000005,5733
7273,Verona,ЖК Verona,30.263678999999996,59.971691,8114
893010,Мой мир,ЖК Мой мир,30.426596999999997,60.066653,8130
1383381,Октавия,Клубный дом Октавия,30.279822999999997,59.963463,1607
1260365,Галактика Pro (Галактика Про),ЖК Галактика Pro,30.307533000000003,59.904453000000004,8110
49261,Полис на Московской,ЖК Полис на Московской,30.30307,59.84016,8130
49443,Питер,ЖК Питер,30.344316,59.853203,14642
53790,UP-квартал Пушкинский,UP-квартал Пушкинский,30.408663,59.696433999999996,9085
6965,Южная поляна,ЖК Южная поляна,30.640631,59.981979,8093
23519,Прагма City,ЖК Прагма City,30.320606,60.07291,5741
7339,ЦДС Золотое время,ЖК ЦДС Золотое время,30.264587,59.895538,2351
53197,Nobelius (Нобелиус),ЖК Nobelius,30.345936,59.965275,8133
307638,Морская набережная,ЖК Морская набережная,30.189789,59.936946999999996,8114
49230,Жемчужный Каскад,ЖК Жемчужный каскад,30.144609000000003,59.859398,1608
6957,Пять Звезд,ЖК Пять звезд,30.404013,59.962791,8169
42757,Русские сезоны,ЖК Русские сезоны,29.955065,60.11356,8077
50165,NEOPARK (НЕОПАРК),Апарт-комплекс Neopark,30.331308,59.833763,8114
381787,Новый Невский,ЖК Новый Невский,30.380211,59.924191,8133
50186,Futurist (Футурист),Дом Futurist,30.285925,59.965389,8077
105243,Жемчужная гавань,ЖК Жемчужная гавань,30.150421,59.861027,1608
51431,"Институтский, 16","ЖК Институтский, 16",30.346411,60.00238,8075
7440,ЦДС Новые горизонты,ЦДС,30.407501,60.075439,2351
7458,UP-квартал Светлановский,UP-квартал Светлановский,30.418402,60.058704000000006,9085
50975,Маленькая Франция,ЖК Маленькая Франция,30.268354,59.932289000000004,9079
15787,BauHaus,ЖК BauHaus,30.363215999999998,59.830788,9939
32141,Делагарди,Клубный дом Делагарди,30.267371999999998,59.941929,14242
50183,Studio Moskovsky (Студио Московский),МФК Studio Moskovsky,30.323165999999997,59.905986999999996,8077
7420,Премьер Палас,ЖК Премьер Палас,30.272318,59.963135,9034
7895,Legenda Дальневосточного,ЖК Legenda Дальневосточного,30.438685999999997,59.913986,8075
20603,Энфилд,ЖК Энфилд,30.399535999999998,60.062298,1303
1327970,Морская набережная. SeaView,ЖК Морская набережная. SeaView,30.201296000000003,59.930428000000006,8114
8015,Жемчужная симфония,Квартал Жемчужная симфония,30.15288,59.848018999999994,-1
6945,Огни Залива,ЖК Огни залива,30.159046000000004,59.864613,8086
53409,Ириновский,ЖК Ириновский,30.488417,59.961349,14922
47571,Премьера 2,ЖК Премьера,30.156670000000002,59.837852000000005,14921
7111,Новое Сертолово,Микрорайон Новое Сертолово,30.194048,60.164974,1301
50225,Эталон на Неве,ЖК Эталон на Неве,30.43158,59.901286999999996,8110
51339,Lampo (Лампо),ЖК Lampo,30.437025,60.06254200000001,8125
6250,Green City,ЖК Green City,30.454748,59.861134,7132
5294,INKERI (Инкери),ЖК Inkeri,30.406256,59.69830699999999,8165
14463,ЗемлЯнино,ЖК ЗемлЯнино,30.574064,59.959068,3362
65920,Victory Plaza (Виктори Плаза),ЖК Victory Plaza,30.32505,59.857914,8079
25138,Золотая Долина,ЖК Золотая Долина,30.433626,59.935283999999996,10815
16005,Клены,ЖК Клены,30.105762,59.848456999999996,10098
43986,Ювента,ЖК Ювента,30.398121000000003,60.065502,12570
40727,Образцовый квартал 3,ЖК Образцовый квартал 3,30.369665,59.753216,8163
6981,Апрель,ЖК Апрель,30.04073,59.77216,1325
6254,IQ Гатчина,Квартал IQ Гатчина,30.143068,59.581375,8113
8292,Цивилизация,ЖК Цивилизация,30.450703000000004,59.902184,8114
31471,Promenade,ЖК Promenade,30.313615999999996,59.906108999999994,9591
40922,Полис на Неве,ЖК Полис на Неве,30.448228999999998,59.894279000000004,8130
14361,RICH ART CLUB 3 (Рич Арт Клаб 3),ЖК Rich'Art Club 3,30.271725,59.98493199999999,9145
48763,ID Murino (Айди Мурино),ЖК Id Murino,30.428507,60.067951,14557
6976,Родные берега (Параллели),ЖК Параллели,39.045933000000005,45.087429,9474
155376,Курортный,ЖК Курортный,29.71603,60.197708,9127
8677,Форвард,ЖК Форвард,30.440521,60.062614,8115
49149,Славянка,ЖК Славянка 128,30.475306,59.740372,8133
8802,Малая Охта,Квартал Малая Охта,30.433621999999996,59.934559,8146
7713,Бенуа-2,ЖК Бенуа 2,30.223719,59.844666000000004,8092
7009,Life Приморский,Квартал LIFE-Приморский,30.236839,59.98289499999999,514
6648,Чудеса света,ЖК Чудеса света,30.637012,59.925430000000006,14968
18838,Две столицы,ЖК Две Столицы,30.338524,59.82029300000001,9984
310892,Заповедный парк,ЖК Заповедный парк,30.269258,60.052876,8114
40790,Barcelona (Барселона),Клубный дом Barcelona,30.342449,59.835152,11849
75380,Svetlana Park (Светлана Парк),ЖК Svetlana Park,30.330868,60.010639000000005,8079
8718,Цветной Город,ЖК Цветной город,30.481803999999997,60.007679,8114
10011,Образцовый квартал 2,ЖК Образцовый квартал 2,30.364563,59.756268000000006,8163
37178,Авеню,Жилой дом Авеню,30.212096999999996,60.144969999999994,12525
6871,Дом на Кирочной,Дом на Кирочной,30.383902000000003,59.9408,-1
7113,Ясно. Янино,ЖК Ясно. Янино,30.599663,59.958012,1301
44348,BOTANICA (БОТАНИКА),ЖК Ботаника,30.321169,59.972923,8110
634563,Образ жизни. Спортивная деревня,Образ жизни. Горная деревня,30.435809999999996,60.124653,15408
48292,Фортеция,ЖК Фортеция,29.796665,59.985565,8079
7377,Триумф Парк,ЖК Триумф Парк,30.333040000000004,59.823704000000006,15969
7042,"Светлый мир ""Я-романтик""",ЖК Светлый мир Я-Романтик,30.200369,59.937763000000004,8589
48856,Наутилус,ЖК Наутилус,30.152265999999997,59.855171,1301
7989,Царский двор,ЖК Царский двор,30.371725,59.756187,1245
31934,Тирамису,ЖК Тирамису,30.781392999999998,59.70763,8148
7047,Stockholm,ЖК Stockholm,30.244353999999998,59.982735,8079
47814,Жили-Были,ЖК Жили-Были,30.313982,60.072289000000005,1301
107059,Образцовый квартал 5,ЖК Образцовый квартал 5,30.362665000000003,59.755356000000006,8163
42666,Приморский квартал,ЖК Приморский квартал,30.303642,59.997578000000004,12850
902223,Аквилон SKY (Аквилон Скай),ЖК Аквилон Sky,30.515388,59.865387,9591
6901,Jaanila Country (Янила Кантри),Микрорайон Jaanila Country,30.577782,59.94968000000001,8113
7716,Шереметевский дворец,ЖК Шереметевский дворец,30.223621,59.84660699999999,8092
139039,Невские панорамы,ЖК Невские панорамы,30.633074,59.79855,15089
7336,Озерный,ЖК Озерный,30.478958000000002,60.053081999999996,9067
6647,Юттери,ЖК Юттери,30.628535999999997,59.756016,8113
7329,Белый сад,ЖК Белый сад,30.167477,59.61091999999999,15153
14363,Калейдоскоп,ЖК Калейдоскоп,30.378658,59.985268000000005,8114
49282,Колумб,ЖК Колумб,30.20529,59.933997999999995,1245
47019,TARMO (ТАРМО),ЖК Tarmo,30.323418,59.99488100000001,8165
8696,Палацио,Квартал Палацио,30.261183000000003,59.929611,8079
48226,Галактика. Премиум,ЖК Галактика Премиум,30.312791999999998,59.894829,8110
